TIMESTAMP,PROGRAM,ML_COURSE_NUM,IR_COURSE_NUM,DB_COURSE_NUM,CHATGPT_USAGE_NUM,GENDER_CATEGORIZED,ROOM_ESTIMATE_CLEANED,STRESS_LEVEL_CLEANED,SPORTS_HOURS_CLEANED,RANDOM_NUMBER_CLEANED,AGE,BIRTHDAY_MONTH,BIRTHDAY_DAY,BEDTIME_CLEANED,GOOD_DAY_1_CLEAN,GOOD_DAY_2_CLEAN,GOOD_DAY_CLEANED_1
2025-04-01 12:17:06.560,Artificial Intelligence,1,1,1,1,male,400,78.0,0.0,928393.0,,1,1,00:00:00,food,travel,food_drink
2025-04-01 12:17:14.118,Artificial Intelligence,1,1,1,1,female,321,100.0,2.0,31416.0,23,1,31,00:30:00,sun,coffee,weather
2025-04-01 12:17:16.917,Econometrics and Operations Research,1,1,1,,male,200,100.0,4.0,5.0,,9,18,00:30:00,zonnetje,aperol,weather
2025-04-01 12:17:20.718,Econometrics and Operations Research,1,0,0,1,male,350,60.0,6.0,37.0,21,10,17,23:00:00,sun,sun,weather
2025-04-01 12:17:23.836,Bioinformatics and Systems Biology,1,1,1,1,male,500,50.0,8.0,1.0,24,4,19,00:00:00,-,-,
2025-04-01 12:17:25.733,Econometrics and Operations Research,0,0,0,,gender_non_conforming,467,99.7,8.0,0.0,,,,05:00:00,chocolate,bitterballen,food_drink
2025-04-01 12:17:26.001,Econometrics and Operations Research,0,0,1,1,female,500,60.0,4.0,4.0,25,10,25,00:00:00,sun,good food,weather
2025-04-01 12:17:26.930,Computer Science,1,0,1,,male,400,30.0,1.0,6656678.0,,4,1,00:00:00,good food,good grade,food_drink
2025-04-01 12:17:27.795,Artificial Intelligence,0,0,1,1,female,500,60.0,3.0,888.0,24,1,29,22:37:00,sun1,sun2,weather
2025-04-01 12:17:29.888,Computer Science,0,0,1,,gender_non_conforming,200,70.0,1.0,4.204204204204204e+17,24,8,1,02:00:00,work done good,then smoke weed,mental_wellbeing
2025-04-01 12:17:31.031,Artificial Intelligence,1,1,1,1,female,250,100.0,4.0,3.0,25,10,19,23:00:00,good food,nice company,food_drink
2025-04-01 12:17:31.441,Computer Science,1,1,1,1,male,400,20.0,4.5,538299189101.0,26,1,1,00:00:00,pizza,beers,food_drink
2025-04-01 12:17:34.918,OTHER,1,0,1,1,male,345,60.0,8.0,1984.0,25,1,1,23:00:00,good food,good sleep,food_drink
2025-04-01 12:17:39.263,Artificial Intelligence,1,1,1,0,male,500,50.0,4.0,72.0,23,6,15,09:00:00,mama’s food,dad’s card,food_drink
2025-04-01 12:17:39.650,Computer Science,1,1,1,0,female,200,70.0,2.0,7.0,,4,1,21:00:00,good work,good sleep,
2025-04-01 12:17:39.676,Computer Science,0,0,1,1,male,500,100.0,0.0,94.0,24,2,27,02:00:00,passing courses,sleeping,productivity
2025-04-01 12:17:40.957,Artificial Intelligence,1,1,1,1,male,400,50.0,7.0,13.0,42,5,10,01:00:00,drugs,more drugs,
2025-04-01 12:17:42.541,Artificial Intelligence,0,0,1,1,female,400,30.0,10.0,28.0,26,12,16,23:30:00,coffee,sports,food_drink
2025-04-01 12:17:43.633,Bioinformatics and Systems Biology,1,0,0,1,female,200,100.0,0.0,9.0,22,6,23,23:16:00,nothing,nothing,
2025-04-01 12:17:43.941,Business Analytics,1,0,1,1,female,200,70.0,0.0,8.0,24,8,10,02:00:00,passing grade,credit in balance,productivity
2025-04-01 12:17:44.148,Artificial Intelligence,1,1,1,1,male,200,5.0,12.0,6372.0,21,12,30,01:00:00,sun,more sun,weather
2025-04-01 12:17:46.498,Artificial Intelligence,1,1,1,1,male,500,8.0,6.0,27.0,,8,11,23:00:00,,,
2025-04-01 12:17:48.575,Artificial Intelligence,1,1,1,1,male,300,100.0,10.0,9999.0,,,,01:00:00,not having edda exam,freetime,
2025-04-01 12:17:49.620,Artificial Intelligence,0,0,0,1,male,300,20.0,3.0,78.0,24,4,19,12:30:00,hanging with friends in the sun,eating good food,weather
2025-04-01 12:17:50.672,Artificial Intelligence,1,0,1,1,female,300,50.0,4.0,38.0,21,7,19,23:30:00,sun,activity,weather
2025-04-01 12:17:50.949,Computational Science,0,0,0,1,female,500,15.0,12.0,19.0,,2,19,00:30:00,good food,friends,food_drink
2025-04-01 12:17:52.062,Econometrics and Operations Research,0,0,0,,female,100,75.0,6.0,777.0,24,5,19,00:30:00,sun,cappuccino,weather
2025-04-01 12:17:52.180,Artificial Intelligence,1,0,1,1,female,550,100.0,7.0,74.0,,9,14,02:00:00,sun,food,weather
2025-04-01 12:17:52.554,Artificial Intelligence,1,0,1,,female,190,2.0,4.5,99.0,26,4,18,01:00:00,sunny day,hanging out with friends,weather
2025-04-01 12:17:52.970,Artificial Intelligence,1,0,1,1,female,300,3.0,10.0,25.0,23,12,11,00:00:00,dance,company,
2025-04-01 12:17:54.822,Econometrics and Operations Research,0,0,0,1,male,300,55.0,2.0,27.0,26,1,24,00:00:00,spending time with marc,nice warm weather,social
2025-04-01 12:17:55.682,Artificial Intelligence,1,0,0,1,male,456,20.0,9.0,108.0,24,7,29,23:57:00,yoga,delicious food,
2025-04-01 12:17:56.163,Artificial Intelligence,1,1,1,1,unknown,500,100.0,10.0,37.0,,12,24,05:00:00,alcohol,more alcohol,
2025-04-01 12:17:56.830,Computer Science,0,1,1,0,female,100,100.0,1.0,4738.0,24,6,1,00:00:00,grade 10,win lottery,productivity
2025-04-01 12:17:56.849,Artificial Intelligence,1,1,1,1,male,250,20.0,5.0,11011011.0,24,11,11,23:30:00,socialising,when i've learned something new,social
2025-04-01 12:17:57.672,Artificial Intelligence,1,0,0,1,male,250,80.0,4.0,87.0,27,11,5,04:00:00,doing sports,not having anxiety,activity
2025-04-01 12:17:58.407,Computational Science,1,0,0,1,male,487,30.0,7.0,39.0,22,11,27,22:30:00,sports,free time,activity
2025-04-01 12:17:58.726,Finance and Technology,1,0,0,1,male,490,75.0,0.0,7.0,23,7,20,00:45:00,booking tickets,drinking beers,
2025-04-01 12:17:59.222,Computer Science,1,1,1,1,female,300,10.0,2.0,7.794535435675898e+22,25,4,18,00:30:00,seeing friends,no work,social
2025-04-01 12:18:01.238,Humanities Research,1,0,1,1,female,450,10.0,3.0,1934.0,22,12,23,01:30:00,nice weather,no work,weather
2025-04-01 12:18:03.419,Artificial Intelligence,0,0,1,1,female,550,50.0,8.0,8.0,23,3,16,00:30:00,good food,sun,food_drink
2025-04-01 12:18:03.599,Artificial Intelligence,1,0,1,1,male,350,45.0,4.0,69420.0,22,5,9,23:30:00,feeling energized,reaching the goals i set for myself that day,sleep
2025-04-01 12:18:04.704,Finance and Technology,1,0,1,1,male,300,5.0,8.0,14.0,21,5,18,00:00:00,sports,friends,activity
2025-04-01 12:18:05.920,Business Analytics,1,1,1,1,female,450,89.0,7.0,69.0,22,11,11,23:40:00,bubble tea,dog,food_drink
2025-04-01 12:18:05.940,Econometrics and Operations Research,1,1,1,0,male,350,0.0,4.0,14.0,25,4,18,03:00:00,no school,high grade,mental_wellbeing
2025-04-01 12:18:06.175,Artificial Intelligence,1,1,1,,male,200,49.0,7.0,420.0,,4,26,02:00:00,warm,sun,
2025-04-01 12:18:06.626,Artificial Intelligence,1,1,1,1,male,600,100.0,4.0,66.0,23,9,29,01:00:00,going to gym,weed,activity
2025-04-01 12:18:07.173,Artificial Intelligence,1,1,1,1,male,200,0.0,6.0,,22,11,21,02:00:00,ajax winning,drugs,
2025-04-01 12:18:07.704,Artificial Intelligence,1,1,1,1,female,320,70.0,12.0,4.0,,12,14,23:59:00,sun,interacting with my loved ones,weather
2025-04-01 12:18:07.943,Computer Science,0,0,1,1,male,200,30.0,5.0,2.3242342342344325e+18,23,9,16,00:00:00,nothing to do,can do anything,
2025-04-01 12:18:08.208,Computer Science,1,1,1,,unknown,300,72.0,2.0,73.0,28,4,18,00:00:00,beer,wine,
2025-04-01 12:18:09.862,Computer Science,1,1,1,0,male,350,5.0,9.0,-1.0,28,8,16,01:00:00,a cold beer,kissing the homies for good night,
2025-04-01 12:18:11.181,Artificial Intelligence,1,0,0,1,gender_non_conforming,450,60.0,3.0,358.0,,,,04:00:00,happy,friends,mental_wellbeing
2025-04-01 12:18:11.461,Artificial Intelligence,0,0,1,1,female,150,60.0,2.0,42.0,26,11,26,02:00:00,good meal,sunny day,food_drink
2025-04-01 12:18:11.855,Artificial Intelligence,1,1,1,1,unknown,375,6.0,10.0,61.0,,3,23,23:00:00,az winning,went to the gym,
2025-04-01 12:18:12.045,Artificial Intelligence,1,0,1,1,male,200,13.0,6.0,7.0,24,9,14,00:00:00,sunny,pilsie,weather
2025-04-01 12:18:12.624,Artificial Intelligence,1,1,1,1,male,350,0.0,5.0,69.0,,,,04:00:00,free time,videogames,
2025-04-01 12:18:12.767,Business Analytics,1,0,0,1,female,500,2.0,4.0,7.0,23,5,20,01:00:00,"sun, good food, being productive",travelling,weather
2025-04-01 12:18:12.943,Artificial Intelligence,0,0,1,1,male,400,60.0,6.0,87.0,25,12,28,00:30:00,praying 5 times on time,seeing my parents and my younger brother doing fine,
2025-04-01 12:18:13.778,Artificial Intelligence,0,0,1,1,male,187,11.0,7.0,6969696.0,,1,16,02:30:00,gym,edda,activity
2025-04-01 12:18:13.841,Artificial Intelligence,1,1,1,,female,500,60.0,6.0,5.0,,5,23,01:00:00,sun,more sun,weather
2025-04-01 12:18:14.118,Computational Science,0,0,1,1,female,350,35.0,7.0,95836.0,27,7,19,01:00:00,getting enough sleep,healthy breakfast,sleep
2025-04-01 12:18:15.513,Bioinformatics and Systems Biology,1,0,0,0,male,300,15.0,5.0,,30,12,10,12:00:00,a good day,a bad day,
2025-04-01 12:18:16.059,Computer Science,1,1,1,1,female,400,66.0,6.0,12.0,,6,20,23:30:00,sunny weather,good grades,weather
2025-04-01 12:18:16.692,Artificial Intelligence,1,0,0,1,female,80,80.0,6.0,47.0,22,9,30,22:00:00,sunny day spent with friends,going to a rave,weather
2025-04-01 12:18:17.170,Artificial Intelligence,0,0,1,1,unknown,500,100.0,2.0,89.0,,1,1,05:00:00,sun,sun,weather
2025-04-01 12:18:17.584,Computer Science,1,1,1,1,female,450,20.0,0.0,8.0,,4,23,23:00:00,rain,chocolate,weather
2025-04-01 12:18:18.017,Artificial Intelligence,1,0,0,1,male,450,90.0,10.0,4141.0,,2,15,00:30:00,when the sun is out,having the time to run,weather
2025-04-01 12:18:18.731,Business Analytics,1,1,0,,male,220,40.0,9.0,15.0,23,3,13,23:00:00,get a lot of sleep(at least 8 hours),eat good food,sleep
2025-04-01 12:18:19.315,Artificial Intelligence,1,1,1,,gender_non_conforming,250,30.0,4.0,6.0,23,10,8,02:00:00,happiness,sun,mental_wellbeing
2025-04-01 12:18:19.741,Artificial Intelligence,1,0,1,1,male,430,30.0,8.0,37.0,23,10,21,00:30:00,doing things i want to do,not having to do things i don't want to do,
2025-04-01 12:18:19.773,Artificial Intelligence,1,1,1,1,female,500,65.0,4.0,168.0,25,12,10,23:00:00,sun,not encountering a stressful situation,weather
2025-04-01 12:18:20.001,Computational Science,1,0,1,1,male,250,100.0,5.0,42.0,23,6,21,23:00:00,sex,alcohol,
2025-04-01 12:18:20.104,Econometrics and Operations Research,1,1,1,1,male,350,42.0,10.0,5347833.0,24,2,28,23:00:00,good food and no econometrics courses,"sun, exercise and beer",food_drink
2025-04-01 12:18:20.162,Computer Science,0,1,0,1,male,380,100.0,10.0,7777.0,22,6,28,14:00:00,weed,alcohol,
2025-04-01 12:18:21.019,Computer Science,1,0,1,1,female,5,60.0,4.0,8.0,24,11,10,23:00:00,sunshine,friends,weather
2025-04-01 12:18:21.909,Artificial Intelligence,1,0,1,1,male,350,15.0,6.0,42.0,27,3,8,23:00:00,good weather,chilling,weather
2025-04-01 12:18:22.045,Artificial Intelligence,1,1,1,1,female,400,30.0,4.0,77.0,,1,9,23:55:00,sunny weather,good food,weather
2025-04-01 12:18:25.841,Computational Science,1,0,1,1,female,330,47.0,12.0,30.0,,5,28,23:45:00,good food,sun,food_drink
2025-04-01 12:18:25.916,Computational Science,1,0,1,1,female,350,10.0,12.0,3.0,23,10,26,02:00:00,sun,good food,weather
2025-04-01 12:18:26.562,Computer Science,1,1,0,1,male,200,20.0,15.0,6.0,22,7,21,01:30:00,delicious food,alcohol dose,food_drink
2025-04-01 12:18:26.814,Artificial Intelligence,1,1,1,1,male,250,20.0,3.0,42.0,,,,00:30:00,no responsibilities,nice weather,mental_wellbeing
2025-04-01 12:18:27.186,Econometrics and Operations Research,1,1,1,1,male,385,6.0,7.0,10.0,22,1,25,00:00:00,food,sun,food_drink
2025-04-01 12:18:28.181,Computational Science,1,0,0,1,female,390,37.0,4.0,197367.0,,2,13,01:00:00,sun,good food,weather
2025-04-01 12:18:28.401,Econometrics and Operations Research,1,0,1,1,male,375,50.0,4.0,1.0,23,2,15,00:00:00,travel,active,
2025-04-01 12:18:29.973,Artificial Intelligence,1,1,1,1,male,195,0.0,10.0,7.0,20,4,2,00:34:00,not having looking for x,spots,
2025-04-01 12:18:30.502,OTHER,0,0,0,1,gender_non_conforming,300,30.0,4.0,73.0,,,,01:00:00,sun,sub,weather
2025-04-01 12:18:31.034,Health Sciences,0,1,0,1,female,234,40.0,7.0,8.0,23,3,21,23:30:00,coffee,running in the sun,food_drink
2025-04-01 12:18:31.203,Computer Science,1,1,1,1,gender_non_conforming,330,100.0,0.0,37.0,,2,4,05:00:00,got nothing to do,interesting activities,mental_wellbeing
2025-04-01 12:18:31.888,Computational Science,1,0,0,1,male,480,75.0,3.0,7.0,27,4,12,01:00:00,achivements,socialising,
2025-04-01 12:18:32.696,Artificial Intelligence,1,1,1,1,male,291,79.0,0.0,74.0,,,,02:00:00,being with someone i love,no assignment deadline!!!,social
2025-04-01 12:18:32.813,Computer Science,1,1,1,,male,550,42.0,4.0,69.0,,,,00:40:00,eating burrata,eating pasta,food_drink
2025-04-01 12:18:33.651,Artificial Intelligence,1,0,1,1,female,200,30.0,0.0,7.0,23,10,26,01:30:00,my boyfriend,my friends,social
2025-04-01 12:18:33.698,Computer Science,1,0,1,1,female,500,100.0,3.0,3.0,,10,10,00:45:00,cats,sun,
2025-04-01 12:18:34.224,Artificial Intelligence,1,1,1,,gender_non_conforming,420,100.0,8.0,40.0,23,1,22,23:35:00,,,
2025-04-01 12:18:34.349,Bioinformatics and Systems Biology,0,0,0,1,female,200,10.0,8.0,11.0,23,8,31,01:00:00,delicious food,nice weather,food_drink
2025-04-01 12:18:34.742,Business Analytics,1,1,1,,male,350,85.0,7.0,4.0,21,7,14,01:30:00,a beer after a exam,seeing my dog,
2025-04-01 12:18:35.020,Artificial Intelligence,1,1,1,1,female,289,40.0,6.0,9581995819194.0,24,1,2,23:25:00,sun,good exam result,weather
2025-04-01 12:18:35.565,Business Analytics,1,1,1,,female,400,40.0,3.0,9.0,,5,21,21:45:00,sleeping in,no assignments,sleep
2025-04-01 12:18:36.198,Computational Science,1,0,1,1,male,350,25.0,20.0,40.0,,1,5,23:00:00,feeling good,productive,sleep
2025-04-01 12:18:36.521,Bioinformatics and Systems Biology,1,0,0,1,male,250,0.0,7.0,69.0,22,9,30,23:00:00,sun,sports,weather
2025-04-01 12:18:36.538,Computational Science,1,0,0,,male,250,100.0,5.0,42.0,,,,00:30:00,doggo,food,
2025-04-01 12:18:37.294,Artificial Intelligence,1,1,0,1,unknown,,100.0,10.0,7.0,,8,7,23:00:00,good talks,productivity,social
2025-04-01 12:18:37.626,Bioinformatics and Systems Biology,1,1,0,1,male,250,60.0,4.0,89867.0,26,8,22,23:30:00,cats,candy,
2025-04-01 12:18:38.458,Bioinformatics and Systems Biology,1,0,0,,female,600,40.0,0.0,658.0,23,11,9,19:00:00,money,love,
2025-04-01 12:18:39.007,Artificial Intelligence,1,0,1,1,male,600,22.0,5.0,236.0,23,7,26,23:33:00,eating good food,having a nice nap,food_drink
2025-04-01 12:18:39.126,Artificial Intelligence,1,1,1,1,female,150,20.0,4.0,11.0,,9,20,00:00:00,good sleep,no uni,sleep
2025-04-01 12:18:39.284,Computer Science,1,0,1,1,unknown,300,13.0,6.0,1738.0,24,8,5,02:00:00,people,food,social
2025-04-01 12:18:40.028,Econometrics and Operations Research,1,1,1,1,male,425,5.0,3.0,4.0,21,4,4,23:00:00,hanging out with friends,no responsibilities,social
2025-04-01 12:18:40.615,Business Analytics,1,0,1,1,male,287,23.0,23.0,1.843659021436743e+17,20,8,20,22:40:00,sports,friends,activity
2025-04-01 12:18:41.200,Computational Science,1,0,1,0,male,300,100.0,0.0,7.0,25,4,3,23:00:00,not going to uni,no deadlines,mental_wellbeing
2025-04-01 12:18:41.280,Artificial Intelligence,0,0,1,1,male,300,30.0,7.0,9.0,22,10,25,00:30:00,sports,good sleep,activity
